Rs(GBu),NumCh,BCh(GHz),Lspan(KM),Ptx(dBm),CutNumCh,ChDistCutCen,TotCongLSP(%),RHEffecIdle,LHEffecIdle,RHCongLSP(%),RFirstIdle,LHCongLSP(%),LFirstIdle,PowNli(dB),PowAse(dB),SnrLink(dB)
32,117,3.2e+07,55,-2,40,19,11.111,4,3,9.0909,0,12.821,9,-71.588,-65.639,32.656
64,59,6.4e+07,115,-1.5,11,19,11.864,1,3,6.25,7,30,1,-74.652,-48.767,17.256
96,45,9.6e+07,65,-1.5,32,9,13.333,2,1,15.385,1,9.6774,7,-77.424,-58.494,26.938
32,117,3.2e+07,90,0,47,12,11.111,1,1,11.429,5,8.6957,13,-66.958,-57.481,27.017
96,45,9.6e+07,120,-3,23,0,13.333,0,1,9.0909,12,13.636,3,-82.219,-45.869,12.868
96,45,9.6e+07,65,-3.5,20,3,13.333,1,3,8,1,15.789,0,-82.523,-58.494,24.976
64,59,6.4e+07,115,-3.5,29,1,11.864,1,1,13.333,1,7.1429,5,-80.791,-48.767,15.265
64,59,6.4e+07,65,0.5,39,9,10.169,2,1,10,4,7.8947,0,-68.453,-60.254,30.142
96,45,9.6e+07,65,-4.5,20,3,13.333,1,1,12,11,10.526,10,-87.109,-58.494,23.988
64,59,6.4e+07,100,0,16,14,11.864,1,1,11.628,5,6.6667,9,-70.803,-52.185,22.126
64,59,6.4e+07,120,4,9,21,11.864,2,1,10,0,12.5,0,-56.97,-47.63,21.152
